販売管理表(部門別５２週推移),,,,,,,,,,,,,,,,,,,,,,,,,,,
対象期間開始：2025年01週 (2025年03月31日〜2025年04月06日),,,,,,,,,,,,,,,,,,,,,,,,,,,
対象期間終了：2025年52週 (2026年03月23日〜2026年03月29日),,,,,,,,,,,,,,,,,,,,,,,,,,,
"対象店舗：王子店,塚口店,夙川店,芦屋店,門戸店,箕面店,岡本店,有野店,六甲店,御影店,甲子園店,宝塚店,甲陽園店,摂津本山店,逆瀬川店,高槻店,大阪店,三宮店,南海なんば店,伊丹店,豊中店,豊中緑丘店,智頭店,常盤店",,,,,,,,,,,,,,,,,,,,,,,,,,,
商品条件：03:精肉⇒033:鶏肉,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,003301:ﾓﾓ,003301:ﾓﾓ,003301:ﾓﾓ,003302:ﾑﾈ,003302:ﾑﾈ,003302:ﾑﾈ,003303:ｻｻﾐ,003303:ｻｻﾐ,003303:ｻｻﾐ,003304:骨物,003304:骨物,003304:骨物,003305:内臓物,003305:内臓物,003305:内臓物,003306:合わせ,003306:合わせ,003306:合わせ,003307:丸物,003307:丸物,003307:丸物,003308:鴨肉,003308:鴨肉,003308:鴨肉,003399:代表ｺｰﾄﾞ,003399:代表ｺｰﾄﾞ,003399:代表ｺｰﾄﾞ
MD週,売上高ランク,売上高,売上高前年比,売上高ランク,売上高,売上高前年比,売上高ランク,売上高,売上高前年比,売上高ランク,売上高,売上高前年比,売上高ランク,売上高,売上高前年比,売上高ランク,売上高,売上高前年比,売上高ランク,売上高,売上高前年比,売上高ランク,売上高,売上高前年比,売上高ランク,売上高,売上高前年比
2025年39週(2025/12/22~2025/12/28),2,"¥8,799,820 ",91.1%,39,"¥627,527 ",98.5%,39,"¥615,696 ",93.1%,1,"¥957,717 ",88.7%,1,"¥249,409 ",38.9%,10,"¥78,043 ",86.5%,1,"¥600,976 ",395.0%,2,"¥1,424,220 ",71.9%,30,¥0 ,0.0%
2025年40週(2025/12/29~2026/01/04),1,"¥9,461,856 ",109.7%,46,"¥601,337 ",126.7%,31,"¥659,015 ",118.6%,42,"¥753,010 ",103.1%,52,"¥150,157 ",102.7%,14,"¥73,768 ",238.2%,4,"¥25,959 ",200.7%,1,"¥3,092,003 ",134.8%,31,¥0 ,0.0%
2025年41週(2026/01/05~2026/01/11),11,"¥5,270,168 ",101.2%,43,"¥609,415 ",111.4%,45,"¥576,494 ",106.4%,24,"¥824,101 ",84.8%,51,"¥180,928 ",96.2%,11,"¥77,059 ",84.6%,44,¥0 ,0.0%,10,"¥473,899 ",148.5%,51,"(¥4,579)",-35.7%
2025年42週(2026/01/12~2026/01/18),12,"¥5,266,233 ",99.2%,41,"¥617,250 ",100.9%,11,"¥709,417 ",119.5%,18,"¥835,013 ",96.5%,35,"¥219,147 ",97.4%,1,"¥86,748 ",113.1%,45,¥0 ,0.0%,9,"¥474,153 ",124.5%,12,¥199 ,31.2%
2025年43週(2026/01/19~2026/01/25),4,"¥5,696,779 ",118.1%,50,"¥576,221 ",102.3%,26,"¥664,641 ",100.2%,5,"¥908,001 ",99.9%,10,"¥233,920 ",111.0%,3,"¥85,819 ",86.8%,46,¥0 ,0.0%,13,"¥431,665 ",119.9%,32,¥0 ,0.0%
2025年44週(2026/01/26~2026/02/01),9,"¥5,356,137 ",102.6%,27,"¥666,076 ",116.2%,34,"¥650,408 ",98.9%,12,"¥866,184 ",98.2%,11,"¥233,218 ",112.7%,2,"¥85,857 ",75.8%,24,"¥2,649 ",0.0%,7,"¥503,326 ",137.3%,33,¥0 ,0.0%
2025年45週(2026/02/02~2026/02/08),5,"¥5,518,977 ",108.2%,48,"¥588,074 ",100.1%,21,"¥684,263 ",115.2%,4,"¥910,553 ",103.1%,18,"¥229,227 ",112.1%,4,"¥83,290 ",78.0%,20,"¥3,122 ",0.0%,6,"¥532,922 ",120.9%,13,¥47 ,9.7%
2025年46週(2026/02/09~2026/02/15),8,"¥5,366,575 ",106.3%,30,"¥663,459 ",109.3%,17,"¥692,198 ",108.4%,6,"¥905,556 ",91.8%,7,"¥236,876 ",102.1%,16,"¥72,950 ",88.6%,47,¥0 ,0.0%,19,"¥361,037 ",68.3%,34,¥0 ,0.0%
2025年47週(2026/02/16~2026/02/22),17,"¥5,136,860 ",99.2%,38,"¥630,866 ",107.1%,3,"¥756,083 ",128.6%,11,"¥870,420 ",99.7%,5,"¥239,248 ",100.4%,21,"¥67,290 ",77.4%,48,¥0 ,0.0%,18,"¥389,187 ",79.4%,35,¥0 ,0.0%
2025年48週(2026/02/23~2026/03/01),13,"¥5,247,031 ",106.9%,17,"¥691,259 ",100.1%,20,"¥685,898 ",103.8%,3,"¥928,076 ",102.5%,6,"¥237,012 ",100.0%,12,"¥75,970 ",102.2%,49,¥0 ,0.0%,15,"¥410,830 ",97.2%,49,(¥728),0.0%
2025年49週(2026/03/02~2026/03/08),15,"¥5,181,825 ",108.2%,23,"¥675,387 ",108.0%,22,"¥684,135 ",112.5%,29,"¥802,646 ",102.6%,29,"¥222,814 ",106.2%,24,"¥57,092 ",97.7%,25,"¥2,065 ",33.3%,14,"¥412,308 ",91.7%,36,¥0 ,0.0%
2025年50週(2026/03/09~2026/03/15),18,"¥5,024,406 ",113.1%,36,"¥636,730 ",98.1%,23,"¥683,528 ",114.2%,2,"¥943,450 ",134.4%,8,"¥236,500 ",114.5%,7,"¥79,028 ",139.0%,50,¥0 ,0.0%,20,"¥326,508 ",98.5%,52,"(¥21,612)",-11315.2%
2025年51週(2026/03/16~2026/03/22),23,"¥4,903,320 ",112.0%,34,"¥642,452 ",99.4%,33,"¥651,158 ",116.4%,22,"¥829,392 ",98.7%,14,"¥231,013 ",112.2%,48,"¥24,864 ",51.4%,51,¥0 ,0.0%,24,"¥244,706 ",71.0%,37,¥0 ,0.0%
2025年52週(2026/03/23~2026/03/29),25,"¥4,795,181 ",111.6%,37,"¥632,292 ",107.7%,8,"¥727,754 ",141.8%,14,"¥849,523 ",110.7%,12,"¥232,099 ",123.3%,47,"¥25,274 ",109.5%,52,¥0 ,0.0%,30,"¥208,983 ",62.0%,10,¥291 ,0.0%
